age,marital,default,housing,loan,day,month,campaign,pdays,previous,job_indexed,education_indexed,balance_normalized,duration_normalized,term_deposit
58,2,0,1,0,5,5,1,-1,0,1,1,0.849311927,0.466905188,0
44,1,0,1,0,5,5,1,-1,0,2,0,0.364449541,0.270125224,0
33,2,0,1,1,5,5,1,-1,0,7,0,0.358256881,0.135957066,0
47,2,0,1,0,5,5,1,-1,0,0,3,0.703211009,0.164579606,0
33,1,0,0,0,5,5,1,-1,0,11,3,0.358027523,0.354203936,0
35,2,0,1,0,5,5,1,-1,0,1,1,0.410779817,0.248658318,0
28,1,0,1,1,5,5,1,-1,0,1,1,0.460321101,0.388193202,0
42,0,1,1,0,5,5,1,-1,0,7,1,0.358256881,0.679785331,0
58,2,0,1,0,5,5,1,-1,0,5,2,0.385550459,0.089445438,0
43,1,0,1,0,5,5,1,-1,0,2,0,0.493807339,0.098389982,0
41,0,0,1,0,5,5,1,-1,0,3,0,0.419724771,0.397137746,0
29,1,0,1,0,5,5,1,-1,0,3,0,0.447247706,0.245080501,0
53,2,0,1,0,5,5,1,-1,0,2,0,0.359174312,0.924865832,0
58,2,0,1,0,5,5,1,-1,0,2,3,0.374082569,0.127012522,0
57,2,0,1,0,5,5,1,-1,0,4,0,0.394954128,0.311270125,0
51,2,0,1,0,5,5,1,-1,0,5,2,0.410321101,0.631484794,0
45,1,0,1,0,5,5,1,-1,0,3,3,0.360779817,0.175313059,0
57,2,0,1,0,5,5,1,-1,0,0,2,0.369724771,0.067978533,0
60,2,0,1,0,5,5,1,-1,0,5,2,0.371559633,0.39177102,0
33,2,0,1,0,5,5,1,-1,0,4,0,0.357798165,0.096601073,0
28,2,0,1,1,5,5,1,-1,0,0,0,0.523623853,0.468694097,0
56,2,0,1,0,5,5,1,-1,0,1,1,0.53646789,0.293381038,0
32,1,0,1,1,5,5,1,-1,0,0,2,0.363073394,0.286225403,0
25,2,0,1,0,5,5,1,-1,0,4,0,0.369266055,0.611806798,0
40,2,0,1,1,5,5,1,-1,0,5,2,0.357798165,0.323792487,0
44,2,0,1,0,5,5,1,-1,0,3,0,0.272477064,0.307692308,0
39,1,0,1,0,5,5,1,-1,0,1,1,0.416284404,0.529516995,0
52,2,0,1,1,5,5,1,-1,0,7,0,0.383715596,0.227191413,0
46,1,0,1,0,5,5,2,-1,0,1,0,0.301376147,0.456171735,0
36,1,0,1,1,5,5,1,-1,0,2,0,0.418577982,0.62254025,0
57,2,0,0,1,5,5,1,-1,0,2,0,0.550229358,0.402504472,0
49,2,0,1,0,5,5,1,-1,0,1,1,0.444495413,0.411449016,0
60,2,0,1,1,5,5,1,-1,0,3,0,0.366743119,0.372093023,0
59,2,0,1,0,5,5,1,-1,0,0,0,0.357798165,0.404293381,0
51,2,0,1,0,5,5,1,-1,0,1,1,1,0.601073345,0
57,0,0,1,0,5,5,1,-1,0,2,0,0.372247706,0.432915921,0
25,2,0,1,0,5,5,1,-1,0,0,0,0.356192661,0.652951699,0
53,2,0,0,0,5,5,1,-1,0,2,0,0.357110092,1,0
36,0,0,1,0,5,5,1,-1,0,3,0,0.473853211,1,0
